Order ID,Branch Location,Branch Name,Business Name,Is Deleted,Item ID,Item Name,Item Price,Order Item Number,Item Status,Packed Quantity,Quantity,Total Price,Order Date,Order Region,Order Local Area,Recency,Frequency,Monetary_Sum,Avg_Quantity,Avg_Purchase_Value,Loyalty_Index,Value_Tier,Engagement_Score,Cluster
4444,Lagos,Mercy & Honey Ventures,Mercy & Honey Ventures,False,604a2127f77d7250766fed68,3CROWNS EVAPORATED -TIN 24 X 160g,4020.0,MLB0HJ7LULZ0INYRFGCLWE4Q,Cancelled,20,20,80400.0,2021-05-27,Lagos,Alimosho,1,216,93533563.0,75.67129629629629,433025.7546296296,93533563.0,High,311.62212883201613,0
4443,Lagos,Mercy & Honey Ventures,Mercy & Honey Ventures,False,604a2127f77d7250766fed68,3CROWNS EVAPORATED -TIN 24 X 160g,4020.0,ML0ILTSYYZGEM7LRD4FEYU4A,Cancelled,20,20,80400.0,2021-05-27,Lagos,Alimosho,1,216,93533563.0,75.67129629629629,433025.7546296296,93533563.0,High,311.62212883201613,0
4442,Lagos,Mercy & Honey Ventures,Mercy & Honey Ventures,False,604a2127f77d7250766fed68,3CROWNS EVAPORATED -TIN 24 X 160g,4020.0,ML3WY2XGDHSE2WAQBW0TS8CQ,Cancelled,3,3,12060.0,2021-05-27,Lagos,Alimosho,1,216,93533563.0,75.67129629629629,433025.7546296296,93533563.0,High,311.62212883201613,0
4441,Lagos,Mercy & Honey Ventures,Mercy & Honey Ventures,False,604a2127f77d7250766fed68,3CROWNS EVAPORATED -TIN 24 X 160g,4020.0,MLM0VZHZ0P2EOTMVFRL0TANA,Cancelled,3,3,12060.0,2021-05-27,Lagos,Ifako-Ijaye,1,216,93533563.0,75.67129629629629,433025.7546296296,93533563.0,High,311.62212883201613,0
4440,Lagos,Mercy & Honey Ventures,Mercy & Honey Ventures,False,604a2127f77d7250766fed68,3CROWNS EVAPORATED -TIN 24 X 160g,4020.0,MLOQ59JKDU40M1IKNQGUQ7OW,Cancelled,20,20,80400.0,2021-05-27,Lagos,Ifako-Ijaye,1,216,93533563.0,75.67129629629629,433025.7546296296,93533563.0,High,311.62212883201613,0
4439,Lagos,Mercy & Honey Ventures,Mercy & Honey Ventures,False,604a2127f77d7250766fed68,3CROWNS EVAPORATED -TIN 24 X 160g,4020.0,MLRWQRB3A8VUQ8K4NXEP7C7G,Cancelled,20,20,80400.0,2021-05-27,Lagos,Ifako-Ijaye,1,216,93533563.0,75.67129629629629,433025.7546296296,93533563.0,High,311.62212883201613,0
4438,Lagos,Mercy & Honey Ventures,Mercy & Honey Ventures,False,604a2127f77d7250766fed68,3CROWNS EVAPORATED -TIN 24 X 160g,4020.0,MLKUJLODCZNKKBY0X6FDNQ4A,Cancelled,20,20,80400.0,2021-05-27,Lagos,Ifako-Ijaye,1,216,93533563.0,75.67129629629629,433025.7546296296,93533563.0,High,311.62212883201613,0
4438,Lagos,Mercy & Honey Ventures,Mercy & Honey Ventures,False,604a2127f77d7250766fed68,3CROWNS EVAPORATED -TIN 24 X 160g,4020.0,MLUY77IBDF4UI4W6Z7NLQ7HA,Cancelled,20,20,80400.0,2021-05-27,Lagos,Oshodi-Isolo,1,216,93533563.0,75.67129629629629,433025.7546296296,93533563.0,High,311.62212883201613,0
4437,Lagos,Multipro Consumer Product Limited,MUL,False,6076c792a6000742949a814c,INDOMIE REGULAR CHICKEN - 70gx40,2295.0,MLJLA1PZCCZEG70ZCJHU51ZA,Delivered,2,2,4590.0,2021-05-27,Lagos,Oshodi-Isolo,1,257,2429793.2,2.2568093385214008,9454.448249027238,2429793.2,Medium,370.7726255084636,0
4437,Lagos,Multipro Consumer Product Limited,MUL,False,6076c792a6000742949a814e,INDOMIE CHICKEN HUNGRYMAN - 24 X 180GMS,3611.0,MLPVA4HIDH6KA50AFIWOTHGW,Cancelled,2,2,7222.0,2021-05-27,Lagos,Oshodi-Isolo,1,257,2429793.2,2.2568093385214008,9454.448249027238,2429793.2,Medium,370.7726255084636,0
4436,Lagos,Multipro Consumer Product Limited,MUL,False,6076c792a6000742949a814c,INDOMIE REGULAR CHICKEN - 70gx40,2295.0,MLFFMSM3IJTKKNGIKACZDMLQ,Delivered,2,2,4590.0,2021-05-27,Lagos,Oshodi-Isolo,1,257,2429793.2,2.2568093385214008,9454.448249027238,2429793.2,Medium,370.7726255084636,0
4436,Lagos,Multipro Consumer Product Limited,MUL,False,6076c792a6000742949a814e,INDOMIE CHICKEN HUNGRYMAN - 24 X 180GMS,3611.0,MLT16FYSNM8UCSQFGIKHHJGW,Cancelled,2,2,7222.0,2021-05-27,Lagos,Oshodi-Isolo,1,257,2429793.2,2.2568093385214008,9454.448249027238,2429793.2,Medium,370.7726255084636,0
